evidence_id,figure_or_table_id,source_path,source_run_id,code_sha,upstream_input_sha256,source_output_sha256,model,seasons,mode,population,grain,rows,folds,metric,direction,prospective_or_historical,notes_and_limitations
E-F03,Figure 3,reports/team_backtests/phase4_1_dixon_coles_rolling/metrics_expected_goals.csv;reports/team_backtests/phase4_1_dixon_coles_rolling/metrics_clean_sheet.csv;reports/team_backtests/phase4_1_dixon_coles_rolling/metrics_match_outcome.csv,phase4_1_dixon_coles_rolling,cfbbead,dim_fixture=7d71b3f5a521b93a0fe76183e44b79dd5ef3bf06d0a714bcb71cfee85655ef6a,reports/team_backtests/phase4_1_dixon_coles_rolling/metrics_expected_goals.csv=ad14624027265efe3993dc86233507cdbd2e3d8bd5fba4327317dbf7e075d855;reports/team_backtests/phase4_1_dixon_coles_rolling/metrics_clean_sheet.csv=6fdd1805383431bd51fc89ca3d5a508f9e83d82596d0b0eb5691e8ee4c7aec44;reports/team_backtests/phase4_1_dixon_coles_rolling/metrics_match_outcome.csv=4f516ed77e13cca946b74703944de768ca285ed69f4425022d45bf7938f3cc16,T0/T1/T2 comparable rolling metrics,2022-23 to 2026-27 as labelled,explicit in figure,explicit in figure and notes,series-specific,see source/table,see source/table,goal/NLL/Brier/log loss,lower-is-better,historical,Traceable full-precision source; limitations in FIGURE_NOTES.md.
E-F04,Figure 3,reports/team_backtests/phase4_1_dixon_coles_rolling/metrics_joint_score.csv,phase4_1_dixon_coles_rolling,cfbbead,dim_fixture=7d71b3f5a521b93a0fe76183e44b79dd5ef3bf06d0a714bcb71cfee85655ef6a,reports/team_backtests/phase4_1_dixon_coles_rolling/metrics_joint_score.csv=c946b44a48ede5f52cf9368af93d30ae2f462e849e712a1e61b2b708391bf99f,T3 challenger joint NLL,2022-23 to 2026-27 as labelled,explicit in figure,explicit in figure and notes,series-specific,see source/table,see source/table,joint score NLL,lower-is-better,historical,Traceable full-precision source; limitations in FIGURE_NOTES.md.
E-F05,Figure 4,reports/xpoints_backtests/phase9b12_xpoints_rolling_goalkeeper_corrected_exact/metrics_overall.csv,phase9b12_xpoints_rolling_goalkeeper_corrected_exact,6877097,fact_player_fixture=a30006cd181249edea06efc92a7356fd3905d57f3bf8e7e8d37d570f9f0dfb4a;config=e134e638d7cc312a9f3b54a2208245c28bf4663bb54e97f062f3e8a6445e6b51,reports/xpoints_backtests/phase9b12_xpoints_rolling_goalkeeper_corrected_exact/metrics_overall.csv=11b0cf6b4f2603fdee62012dce05cc32db993aab95c510a3758b93121ed6b93a,rolling xPoints MAE and Spearman,2022-23 to 2026-27 as labelled,explicit in figure,explicit in figure and notes,series-specific,see source/table,see source/table,MAE/Spearman,mixed,historical,Traceable full-precision source; limitations in FIGURE_NOTES.md.
E-F06,Figure 4,reports/xpoints_backtests/phase9b12_xpoints_gw1_goalkeeper_corrected_exact/metrics_overall.csv,phase9b12_xpoints_gw1_goalkeeper_corrected_exact,8dc8991,fact_player_fixture=a30006cd181249edea06efc92a7356fd3905d57f3bf8e7e8d37d570f9f0dfb4a;config=9b06acb2c8080000b8b8981a2f39082a9247c723b9c4e2bd56c5d79fbb3a8e2d,reports/xpoints_backtests/phase9b12_xpoints_gw1_goalkeeper_corrected_exact/metrics_overall.csv=16f003b21401c92bdb98600afa7dd0939f8c882b8e99d620aa6ea826ba94a731,GW1 xPoints MAE and Spearman,2022-23 to 2026-27 as labelled,explicit in figure,explicit in figure and notes,series-specific,see source/table,see source/table,MAE/Spearman,mixed,historical,Traceable full-precision source; limitations in FIGURE_NOTES.md.
E-F07,Figure 4,reports/xpoints_backtests/preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected_clean_034830b041c1/metrics_overall.csv,preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected_clean_034830b041c1,034830b041c12d4764a81ebaf46c9b4b0978320c,fact_player_fixture=a30006cd181249edea06efc92a7356fd3905d57f3bf8e7e8d37d570f9f0dfb4a;config=bccc01221d7b821a486efce4e4528fc5748771590ee64326f451c25a1289ddd6,reports/xpoints_backtests/preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected_clean_034830b041c1/metrics_overall.csv=cecd3173274e2d7191ffed060ac861d807d7730773c26d4e2b94218dde7202aa,hybrid GW1 annotation,2022-23 to 2026-27 as labelled,explicit in figure,explicit in figure and notes,series-specific,see source/table,see source/table,MAE/Spearman,mixed,historical,Traceable full-precision source; limitations in FIGURE_NOTES.md.
E-F08,Figure 5,outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/preseason_simulation_convergence.json;outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/preseason_simulation_closure.json,preseason_simulation_convergence_goalkeeper_corrected;preseason_simulation_closure_goalkeeper_corrected,f787ba15c92c379520008daee767fe152aa6ca594d6b1dadb8c6bffaf04afc23,lockfile=55c39fc0e218d3ca5f6e5f3f5ead309bce7ba8f3b33a074bef06bc2a072e9496;normalized_tree=edaf05f33df26188a6f9981f640286f5520bf75b0711b89fd0a6a5601ffe15b7;operations_config=47ab7d160c06fed74af2128b1deefbb00d8c92fae1b03e835ae30c4dc5845ad7;original_manifest=0d2f8cb80368f999633f6ebd08b43fab2e820a22d219143e1c5ca7fbc695f9ba;pyproject=d22b77a80b33c1b3b5ebb8267da833f7072ee49d1c65d069f46c73d22aeec55c;xpoints_config=bccc01221d7b821a486efce4e4528fc5748771590ee64326f451c25a1289ddd6;official_bootstrap_static=bc334cda5906726eacd60746ea25d5b953b39aa77a5eb3b4a2d5538bbac9e1da;official_fixtures=9e7484118381f8202830906ba993c176475d8ca1796571f5dd78cbfc2d73bd3e,outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/preseason_simulation_convergence.json=15121e5f80a8731e4abc1c26eec38da63e77ad978017a7f0e9659926e47d953b;outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/preseason_simulation_closure.json=d2e87c862b7f5952b3cc3339916b42b82bf03e25bfffa782044d2a6d6ee3a04c,P95 simulated mean difference,2022-23 to 2026-27 as labelled,explicit in figure,explicit in figure and notes,series-specific,see source/table,see source/table,P95 mean difference,lower-is-better,historical,Traceable full-precision source; limitations in FIGURE_NOTES.md.
E-F09,Figure 5,outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/preseason_simulation_convergence.json;outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/preseason_simulation_closure.json,preseason_simulation_convergence_goalkeeper_corrected;preseason_simulation_closure_goalkeeper_corrected,f787ba15c92c379520008daee767fe152aa6ca594d6b1dadb8c6bffaf04afc23,lockfile=55c39fc0e218d3ca5f6e5f3f5ead309bce7ba8f3b33a074bef06bc2a072e9496;normalized_tree=edaf05f33df26188a6f9981f640286f5520bf75b0711b89fd0a6a5601ffe15b7;operations_config=47ab7d160c06fed74af2128b1deefbb00d8c92fae1b03e835ae30c4dc5845ad7;original_manifest=0d2f8cb80368f999633f6ebd08b43fab2e820a22d219143e1c5ca7fbc695f9ba;pyproject=d22b77a80b33c1b3b5ebb8267da833f7072ee49d1c65d069f46c73d22aeec55c;xpoints_config=bccc01221d7b821a486efce4e4528fc5748771590ee64326f451c25a1289ddd6;official_bootstrap_static=bc334cda5906726eacd60746ea25d5b953b39aa77a5eb3b4a2d5538bbac9e1da;official_fixtures=9e7484118381f8202830906ba993c176475d8ca1796571f5dd78cbfc2d73bd3e,outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/preseason_simulation_convergence.json=15121e5f80a8731e4abc1c26eec38da63e77ad978017a7f0e9659926e47d953b;outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/preseason_simulation_closure.json=d2e87c862b7f5952b3cc3339916b42b82bf03e25bfffa782044d2a6d6ee3a04c,P95 P(5+) difference,2022-23 to 2026-27 as labelled,explicit in figure,explicit in figure and notes,series-specific,see source/table,see source/table,P95 P(5+) difference,lower-is-better,historical,Traceable full-precision source; limitations in FIGURE_NOTES.md.
E-F10,Figure 5,outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/preseason_simulation_convergence.json,preseason_simulation_convergence_goalkeeper_corrected,f787ba15c92c379520008daee767fe152aa6ca594d6b1dadb8c6bffaf04afc23,lockfile=55c39fc0e218d3ca5f6e5f3f5ead309bce7ba8f3b33a074bef06bc2a072e9496;normalized_tree=edaf05f33df26188a6f9981f640286f5520bf75b0711b89fd0a6a5601ffe15b7;operations_config=47ab7d160c06fed74af2128b1deefbb00d8c92fae1b03e835ae30c4dc5845ad7;original_manifest=0d2f8cb80368f999633f6ebd08b43fab2e820a22d219143e1c5ca7fbc695f9ba;pyproject=d22b77a80b33c1b3b5ebb8267da833f7072ee49d1c65d069f46c73d22aeec55c;xpoints_config=bccc01221d7b821a486efce4e4528fc5748771590ee64326f451c25a1289ddd6;official_bootstrap_static=bc334cda5906726eacd60746ea25d5b953b39aa77a5eb3b4a2d5538bbac9e1da;official_fixtures=9e7484118381f8202830906ba993c176475d8ca1796571f5dd78cbfc2d73bd3e,outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/preseason_simulation_convergence.json=15121e5f80a8731e4abc1c26eec38da63e77ad978017a7f0e9659926e47d953b,runtime,2022-23 to 2026-27 as labelled,explicit in figure,explicit in figure and notes,series-specific,see source/table,see source/table,seconds,lower-is-better subject to tolerances,historical,Traceable full-precision source; limitations in FIGURE_NOTES.md.
E-F11,Figure 6,reports/xpoints_backtests/phase9b12_xpoints_gw1_goalkeeper_corrected_exact/scored_player_fixture_predictions.parquet,phase9b12_xpoints_gw1_goalkeeper_corrected_exact,8dc8991,fact_player_fixture=a30006cd181249edea06efc92a7356fd3905d57f3bf8e7e8d37d570f9f0dfb4a;config=9b06acb2c8080000b8b8981a2f39082a9247c723b9c4e2bd56c5d79fbb3a8e2d,reports/xpoints_backtests/phase9b12_xpoints_gw1_goalkeeper_corrected_exact/scored_player_fixture_predictions.parquet=b1396f2f6cb0498f429fd897cb08c2d221d5b2f7016a1fc920051a7aa38a4588,old 80 pooled metrics,2022-23 to 2026-27 as labelled,explicit in figure,explicit in figure and notes,series-specific,see source/table,see source/table,six pooled metrics,mixed,historical,Traceable full-precision source; limitations in FIGURE_NOTES.md.
E-F12,Figure 6,reports/xpoints_backtests/preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected_clean_034830b041c1/scored_player_fixture_predictions.parquet,preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected_clean_034830b041c1,034830b041c12d4764a81ebaf46c9b4b0978320c,fact_player_fixture=a30006cd181249edea06efc92a7356fd3905d57f3bf8e7e8d37d570f9f0dfb4a;config=bccc01221d7b821a486efce4e4528fc5748771590ee64326f451c25a1289ddd6,reports/xpoints_backtests/preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected_clean_034830b041c1/scored_player_fixture_predictions.parquet=bad566ee7e9b3e4fae58a6ec9790049ba33321b8b3d2015e094021274226512d,hybrid 10k pooled metrics,2022-23 to 2026-27 as labelled,explicit in figure,explicit in figure and notes,series-specific,see source/table,see source/table,six pooled metrics,mixed,historical,Traceable full-precision source; limitations in FIGURE_NOTES.md.
E-F13,Figure 7,reports/xpoints_backtests/phase9b12_xpoints_gw1_goalkeeper_corrected_exact/scored_player_fixture_predictions.parquet,phase9b12_xpoints_gw1_goalkeeper_corrected_exact,8dc8991,fact_player_fixture=a30006cd181249edea06efc92a7356fd3905d57f3bf8e7e8d37d570f9f0dfb4a;config=9b06acb2c8080000b8b8981a2f39082a9247c723b9c4e2bd56c5d79fbb3a8e2d,reports/xpoints_backtests/phase9b12_xpoints_gw1_goalkeeper_corrected_exact/scored_player_fixture_predictions.parquet=b1396f2f6cb0498f429fd897cb08c2d221d5b2f7016a1fc920051a7aa38a4588,old P(5+) calibration,2022-23 to 2026-27 as labelled,explicit in figure,explicit in figure and notes,series-specific,see source/table,see source/table,fixed-bin P(5+) calibration,closer-to-diagonal,historical,Traceable full-precision source; limitations in FIGURE_NOTES.md.
E-F14,Figure 7,reports/xpoints_backtests/preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected_clean_034830b041c1/scored_player_fixture_predictions.parquet,preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected_clean_034830b041c1,034830b041c12d4764a81ebaf46c9b4b0978320c,fact_player_fixture=a30006cd181249edea06efc92a7356fd3905d57f3bf8e7e8d37d570f9f0dfb4a;config=bccc01221d7b821a486efce4e4528fc5748771590ee64326f451c25a1289ddd6,reports/xpoints_backtests/preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected_clean_034830b041c1/scored_player_fixture_predictions.parquet=bad566ee7e9b3e4fae58a6ec9790049ba33321b8b3d2015e094021274226512d,hybrid P(5+) calibration,2022-23 to 2026-27 as labelled,explicit in figure,explicit in figure and notes,series-specific,see source/table,see source/table,fixed-bin P(5+) calibration,closer-to-diagonal,historical,Traceable full-precision source; limitations in FIGURE_NOTES.md.
E-F15,Figure 8,outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/player_gameweek_projections.csv,preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1,f787ba15c92c379520008daee767fe152aa6ca594d6b1dadb8c6bffaf04afc23,lockfile=55c39fc0e218d3ca5f6e5f3f5ead309bce7ba8f3b33a074bef06bc2a072e9496;normalized_tree=edaf05f33df26188a6f9981f640286f5520bf75b0711b89fd0a6a5601ffe15b7;operations_config=47ab7d160c06fed74af2128b1deefbb00d8c92fae1b03e835ae30c4dc5845ad7;original_manifest=0d2f8cb80368f999633f6ebd08b43fab2e820a22d219143e1c5ca7fbc695f9ba;pyproject=d22b77a80b33c1b3b5ebb8267da833f7072ee49d1c65d069f46c73d22aeec55c;xpoints_config=bccc01221d7b821a486efce4e4528fc5748771590ee64326f451c25a1289ddd6;official_bootstrap_static=bc334cda5906726eacd60746ea25d5b953b39aa77a5eb3b4a2d5538bbac9e1da;official_fixtures=9e7484118381f8202830906ba993c176475d8ca1796571f5dd78cbfc2d73bd3e,outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/player_gameweek_projections.csv=82f433a754ebc6968a2516d3b899a45db2b7d9a11aefacbe7037c0d33afc90da,prospective price/xPoints by position,2022-23 to 2026-27 as labelled,explicit in figure,explicit in figure and notes,series-specific,see source/table,see source/table,price and expected points,descriptive,prospective,Prospective snapshot; no outcome or accuracy interpretation.
